Filename,Hex,R,G,B,L,a,b
foto (115).jpg,#BA836E,186,131,110,59.61,18.0,20.0
foto (116).jpg,#D38876,211,136,118,63.92,27.0,21.0
foto (117).jpg,#B58362,181,131,98,58.82,15.0,25.0
foto (118).jpg,#C48059,196,128,89,60.0,22.0,32.0
foto (119).jpg,#BD7953,189,121,83,57.25,23.0,32.0
foto (120).jpg,#AE7A55,174,122,85,55.69,16.0,28.0
foto (121).jpg,#A46950,164,105,80,50.2,21.0,24.0
foto (122).jpg,#B89574,184,149,116,64.31,9.0,22.0
foto (123).jpg,#C6977B,198,151,123,66.27,14.0,22.0
foto (124).jpg,#A9705F,169,112,95,52.94,20.0,19.0
foto (125).jpg,#C28863,194,136,99,61.57,18.0,29.0
foto (126).jpg,#B8785C,184,120,92,56.47,22.0,26.0
foto (127).jpg,#C07F60,192,127,96,59.22,22.0,27.0
foto (128).jpg,#B47B50,180,123,80,56.47,17.0,32.0
foto (129).jpg,#A87A64,168,122,100,55.29,15.0,19.0
foto (130).jpg,#AA6E45,170,110,69,52.16,19.0,33.0
foto (131).jpg,#A2634B,162,99,75,48.63,23.0,24.0
foto (132).jpg,#9A6449,154,100,73,47.45,19.0,24.0
foto (133).jpg,#A9766D,169,118,109,54.51,19.0,13.0
foto (134).jpg,#AD6D54,173,109,84,52.55,23.0,25.0
foto (135).jpg,#AE8B6E,174,139,110,60.39,9.0,21.0
foto (136).jpg,#CE8667,206,134,103,62.75,24.0,28.0
foto (137).jpg,#D1A38A,209,163,138,70.59,14.0,20.0
foto (138).jpg,#C6957E,198,149,126,65.88,15.0,19.0
foto (139).jpg,#D2A87B,210,168,123,71.76,9.0,29.0
foto (140).jpg,#BD7358,189,115,88,56.08,26.0,27.0
foto (141).jpg,#CE6B3A,206,107,58,56.08,35.0,44.0
foto (142).jpg,#BC8863,188,136,99,61.18,15.0,28.0
