filename,R,G,B,HEX,L,a,b
white (106).jpg,137,109,84,#896d54,48,7,18
white (107).jpg,144,115,98,#907362,51,9,14
white (108).jpg,161,125,116,#a17d74,56,13,10
white (109).jpg,167,146,139,#a7928b,62,7,7
white (110).jpg,126,108,92,#7e6c5c,47,4,12
white (111).jpg,135,109,89,#876d59,48,7,15
white (112).jpg,135,122,111,#877a6f,52,3,8
white (113).jpg,164,122,109,#a47a6d,55,15,13
white (114).jpg,175,134,112,#af8670,59,12,18
white (115).jpg,123,89,78,#7b594e,41,12,12
white (116).jpg,178,155,145,#b29b91,66,7,8
white (117).jpg,143,116,105,#8f7469,51,9,10
white (118).jpg,186,131,108,#ba836c,60,18,21
white (119).jpg,184,159,133,#b89f85,67,5,17
white (120).jpg,190,145,115,#be9173,64,13,23
white (121).jpg,168,143,130,#a88f82,61,7,10
white (122).jpg,153,130,120,#998278,56,7,9
white (123).jpg,181,148,127,#b5947f,64,9,16
white (124).jpg,172,131,110,#ac836e,58,13,17
white (125).jpg,178,140,136,#b28c88,62,14,8
white (126).jpg,170,124,113,#aa7c71,56,16,13
white (127).jpg,160,127,106,#a07f6a,56,10,16
white (128).jpg,200,167,146,#c8a792,71,9,15
white (129).jpg,180,150,138,#b4968a,64,9,10
white (130).jpg,156,113,98,#9c7162,52,15,15
white (131).jpg,194,152,127,#c2987f,66,12,19
white (132).jpg,175,133,118,#af8576,59,14,14
white (133).jpg,191,157,135,#bf9d87,67,9,16
white (134).jpg,197,156,138,#c59c8a,68,13,15
white (135).jpg,205,165,164,#cda5a4,71,14,6
white (136).jpg,143,89,81,#8f5951,44,21,14
white (137).jpg,163,141,123,#a38d7b,60,5,13
white (138).jpg,155,113,91,#9b715b,51,13,19
white (139).jpg,173,138,114,#ad8a72,60,10,18
white (140).jpg,184,139,118,#b88b76,62,14,18
white (141).jpg,195,141,116,#c38d74,63,17,21
white (142).jpg,175,136,104,#af8868,60,11,23
