metode,mean_deltaE,median_deltaE,std_deltaE,min_deltaE,max_deltaE
CLAHE,8.319386666666666,6.89,5.624685840052491,0.39,20.0
HE,20.134933333333333,15.64,16.466238411225852,0.0,72.28
