filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
white (125).jpg,Make Up For Ever,Ultra HD,e4bd9c,2.22,MAC,Studio Fix,d8b593,2.22,MAC,Studio Fix,d9b28d,2.22
white (13).jpg,L'Oréal,True Match,e9c4b1,1.09,L'Oréal,True Match,f0c7b3,1.09,Make Up For Ever,Ultra HD,eac1ac,1.09
white (14).jpg,L'Oréal,Infalliable,deb09e,2.36,Maybelline,Fit Me Matte,e7b9a2,2.36,Make Up For Ever,Ultra HD,dca795,2.36
white (15).jpg,Make Up For Ever,Ultra HD,efd2b8,1.77,Make Up For Ever,Ultra HD,f6d2bb,1.77,Maybelline,Fit Me,edcfb9,1.77
white (16).jpg,Make Up For Ever,Ultra HD,d9a586,0.16,Make Up For Ever,Ultra HD,d4a689,0.16,L'Oréal,Infalliable,cf9c7d,0.16
white (17).jpg,Maybelline,Fit Me Matte,f7d1bc,1.24,Make Up For Ever,Ultra HD,f2ccb7,1.24,Maybelline,Fit Me,ffd3be,1.24
white (18).jpg,Make Up For Ever,Ultra HD,eac1ac,2.02,L'Oréal,True Match,f0c7b3,2.02,L'Oréal,Infalliable,f7cab1,2.02
white (19).jpg,L'Oréal,True Match,e8c7b8,5.13,MAC,Studio Fix,e5d1be,5.13,L'Oréal,True Match,eecfba,5.13
white (2).jpg,Make Up For Ever,Ultra HD,f9e3d5,7.1,MAC,Studio Fix,e5d1be,7.1,L'Oréal,True Match,e8c7b8,7.1
white (20).jpg,L'Oréal,Infalliable,f3c6a2,2.24,Maybelline,Fit Me Matte,f9d0b0,2.24,Make Up For Ever,Ultra HD,e8c6a3,2.24
white (21).jpg,MAC,Studio Fix,e0c1a2,2.37,Make Up For Ever,Ultra HD,e1c2a8,2.37,MAC,Studio Fix,dbbc9f,2.37
white (22).jpg,L'Oréal,Infalliable,deb09e,2.4,Maybelline,Fit Me,e1bba7,2.4,Maybelline,Fit Me Matte,e7b9a2,2.4
white (23).jpg,MAC,Studio Fix,e5d1be,5.7,L'Oréal,True Match,e8c7b8,5.7,L'Oréal,True Match,eecfba,5.7
white (24).jpg,L'Oréal,True Match,e8c7b8,4.52,L'Oréal,True Match,e9c4b1,4.52,L'Oréal,True Match,f0cbb9,4.52
white (25).jpg,Make Up For Ever,Ultra HD,efd2b8,3.76,Maybelline,Fit Me,f3cfb3,3.76,Maybelline,Fit Me,ffe3c2,3.76
white (26).jpg,Maybelline,Fit Me,bd9584,1.9,Maybelline,Fit Me,c7967d,1.9,Make Up For Ever,Ultra HD,c99980,1.9
white (27).jpg,MAC,Studio Fix,e5d1be,2.48,MAC,Studio Fix,e0c8ae,2.48,L'Oréal,True Match,e7cbb5,2.48
white (28).jpg,L'Oréal,Infalliable,deb09e,3.62,L'Oréal,Infalliable,d1a396,3.62,Make Up For Ever,Ultra HD,dca795,3.62
white (29).jpg,L'Oréal,True Match,eabea1,1.41,L'Oréal,True Match,eebfa3,1.41,Maybelline,Fit Me,eabda6,1.41
white (3).jpg,Maybelline,Fit Me,e1bba7,2.63,L'Oréal,True Match,e9c4b1,2.63,Make Up For Ever,Ultra HD,eac1ac,2.63
white (30).jpg,L'Oréal,True Match,e9c4b1,1.9,Maybelline,Fit Me,e1bba7,1.9,Make Up For Ever,Ultra HD,eac1ac,1.9
white (31).jpg,Make Up For Ever,Ultra HD,f9e3d5,6.03,L'Oréal,Infalliable,fcd6c7,6.03,Maybelline,Fit Me,ffe0cd,6.03
white (32).jpg,MAC,Studio Fix,e5d1be,7.2,Make Up For Ever,Ultra HD,f9e3d5,7.2,L'Oréal,True Match,e8c7b8,7.2
white (33).jpg,Make Up For Ever,Ultra HD,eac1ac,1.41,Maybelline,Fit Me,e1bba7,1.41,L'Oréal,True Match,e9c4b1,1.41
white (34).jpg,Make Up For Ever,Ultra HD,eac1ac,2.02,L'Oréal,True Match,f0c7b3,2.02,L'Oréal,Infalliable,f7cab1,2.02
white (35).jpg,Maybelline,Fit Me Matte,f3b989,2.11,MAC,Studio Fix,fbbe91,2.11,Maybelline,Fit Me Matte,ebba8a,2.11
white (36).jpg,L'Oréal,Infalliable,deb09e,1.05,L'Oréal,True Match,dcb29a,1.05,Make Up For Ever,Ultra HD,dcb59c,1.05
white (37).jpg,Make Up For Ever,Ultra HD,f7c3b3,2.83,L'Oréal,True Match,f0c7b3,2.83,L'Oréal,Infalliable,f7cab1,2.83
white (38).jpg,L'Oréal,True Match,e8c7b8,3.8,L'Oréal,Infalliable,fcd6c7,3.8,L'Oréal,True Match,f0cbb9,3.8
white (39).jpg,L'Oréal,True Match,e8c7b8,5.2,MAC,Studio Fix,e5d1be,5.2,L'Oréal,True Match,eecfba,5.2
white (4).jpg,L'Oréal,True Match,e9c4b1,1.0,L'Oréal,True Match,e8c7b8,1.0,L'Oréal,True Match,f0cbb9,1.0
white (40).jpg,NARS,Velvet Matte,ecb98c,2.25,Maybelline,Fit Me Matte,f3b989,2.25,Maybelline,Fit Me Matte,efb793,2.25
white (41).jpg,L'Oréal,Infalliable,fcd6c7,3.37,Make Up For Ever,Ultra HD,f9d5c3,3.37,Maybelline,Fit Me,ffe0cd,3.37
white (42).jpg,Maybelline,Fit Me Matte,e7b9a2,3.21,Maybelline,Fit Me,eabda6,3.21,Make Up For Ever,Ultra HD,e3b296,3.21
white (43).jpg,L'Oréal,Infalliable,deb09e,3.42,Maybelline,Fit Me Matte,e7b9a2,3.42,Make Up For Ever,Ultra HD,dca795,3.42
white (44).jpg,L'Oréal,True Match,e8c7b8,6.77,L'Oréal,True Match,e9c4b1,6.77,Maybelline,Fit Me,e1bba7,6.77
white (45).jpg,Make Up For Ever,Ultra HD,dca795,3.5,Make Up For Ever,Ultra HD,d79e89,3.5,L'Oréal,Infalliable,deb09e,3.5
white (46).jpg,L'Oréal,Infalliable,deb09e,2.69,L'Oréal,True Match,dcb29a,2.69,Make Up For Ever,Ultra HD,dcb59c,2.69
white (47).jpg,L'Oréal,Infalliable,d1a396,1.56,Make Up For Ever,Ultra HD,dca795,1.56,Maybelline,Fit Me,bd9584,1.56
white (48).jpg,Make Up For Ever,Ultra HD,f6d2bb,1.12,Make Up For Ever,Ultra HD,f2ccb7,1.12,Maybelline,Fit Me Matte,f7d1bc,1.12
white (49).jpg,MAC,Studio Fix,dcbca2,1.09,MAC,Studio Fix,dbbc9f,1.09,Make Up For Ever,Ultra HD,e1c2a8,1.09
white (5).jpg,L'Oréal,Infalliable,f7cab1,1.78,L'Oréal,True Match,f0c7b3,1.78,Make Up For Ever,Ultra HD,eac1ac,1.78
white (50).jpg,L'Oréal,True Match,eabea1,1.07,Make Up For Ever,Ultra HD,e4bd9c,1.07,L'Oréal,True Match,eebfa3,1.07
white (51).jpg,Maybelline,Fit Me Matte,e7b9a2,2.61,Make Up For Ever,Ultra HD,e3b296,2.61,Maybelline,Fit Me,eabda6,2.61
white (52).jpg,L'Oréal,Infalliable,f7cab1,1.44,Make Up For Ever,Ultra HD,f2ccb7,1.44,L'Oréal,True Match,f0c7b3,1.44
white (53).jpg,L'Oréal,True Match,e8c7b8,7.28,MAC,Studio Fix,e5d1be,7.28,L'Oréal,True Match,eecfba,7.28
white (54).jpg,Make Up For Ever,Ultra HD,e1c2a8,2.24,MAC,Studio Fix,dcbca2,2.24,MAC,Studio Fix,dbbc9f,2.24
white (55).jpg,L'Oréal,True Match,e8c7b8,6.37,L'Oréal,True Match,e9c4b1,6.37,Maybelline,Fit Me,e1bba7,6.37
white (56).jpg,L'Oréal,True Match,e8c7b8,5.86,L'Oréal,True Match,e9c4b1,5.86,Maybelline,Fit Me,e1bba7,5.86
white (57).jpg,MAC,Studio Fix,d9b88f,3.67,MAC,Studio Fix,dabc96,3.67,Make Up For Ever,Ultra HD,e8c6a3,3.67
