filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
white (30).jpg,L'Oréal,Infalliable,d1a396,7.467502929359987,Maybelline,Fit Me,e1bba7,8.75920087679236,L'Oréal,Infalliable,deb09e,9.130366914861638
white (31).jpg,L'Oréal,Infalliable,fcd6c7,5.723949685313454,L'Oréal,True Match,e8c7b8,6.440776350720464,Make Up For Ever,Ultra HD,f9e3d5,7.0287694513335675
white (32).jpg,MAC,Studio Fix,e5d1be,7.006004567512071,L'Oréal,True Match,e8c7b8,8.770638517234648,Make Up For Ever,Ultra HD,f9e3d5,8.896296982452872
white (33).jpg,Make Up For Ever,Ultra HD,dcb59c,2.1294130646729825,L'Oréal,True Match,dcb29a,2.1294130646729825,Maybelline,Fit Me Matte,dcb297,2.744886154287639
white (34).jpg,Make Up For Ever,Ultra HD,eac1ac,1.3499999999999943,L'Oréal,True Match,f0c7b3,1.5564382416273403,L'Oréal,True Match,e9c4b1,2.2632940595512543
white (35).jpg,Maybelline,Fit Me,f3b584,1.0594810050208527,Maybelline,Fit Me,eab181,2.1731313812100774,Maybelline,Fit Me Matte,f3b27d,2.849999999999999
white (36).jpg,L'Oréal,Infalliable,deb09e,3.02537600968871,L'Oréal,True Match,dcb29a,3.02537600968871,Make Up For Ever,Ultra HD,dcb59c,3.626692708239834
white (37).jpg,Make Up For Ever,Ultra HD,f7c3b3,2.6542230501598807,Maybelline,Fit Me,eabda6,2.7321969182326478,Maybelline,Fit Me Matte,e7b9a2,3.406596542004933
white (38).jpg,L'Oréal,True Match,e8c7b8,1.4211263138792414,L'Oréal,True Match,f0cbb9,3.120833222073874,L'Oréal,True Match,e9c4b1,3.20929898887592
white (39).jpg,L'Oréal,True Match,e8c7b8,5.196152422706632,MAC,Studio Fix,e5d1be,6.164414002968976,L'Oréal,True Match,e9c4b1,6.708203932499369
white (4).jpg,Maybelline,Fit Me,e1bba7,1.4142135623730951,Make Up For Ever,Ultra HD,eac1ac,2.23606797749979,L'Oréal,True Match,e9c4b1,2.23606797749979
white (40).jpg,NARS,Velvet Matte,ecb98c,2.4334337878808183,Maybelline,Fit Me Matte,efb793,3.304784410517574,L'Oréal,Infalliable,e7ad82,3.352849534351346
white (41).jpg,L'Oréal,True Match,e8c7b8,1.6480594649465796,L'Oréal,True Match,f0cbb9,3.1774360733144578,L'Oréal,True Match,eecfba,3.2366803981857704
white (42).jpg,Make Up For Ever,Ultra HD,dca795,3.0180954259267545,Make Up For Ever,Ultra HD,d79e89,3.617858482583307,Make Up For Ever,Ultra HD,e3b296,4.138707527719252
white (43).jpg,Make Up For Ever,Ultra HD,dca795,1.238103388251565,L'Oréal,Infalliable,deb09e,3.7620340243012134,L'Oréal,Infalliable,d1a396,4.522488253163298
white (44).jpg,L'Oréal,True Match,e8c7b8,8.92417503190071,Maybelline,Fit Me,e1bba7,9.818395999347349,L'Oréal,True Match,e9c4b1,9.928791467243132
white (45).jpg,Make Up For Ever,Ultra HD,dca795,2.8290634492708007,L'Oréal,Infalliable,d1a396,4.8747923032679035,Make Up For Ever,Ultra HD,d79e89,5.0639510266194305
white (46).jpg,L'Oréal,Infalliable,d1a396,3.9246018906380797,L'Oréal,Infalliable,deb09e,4.1112650121343455,L'Oréal,True Match,dcb29a,4.571925196238453
white (47).jpg,L'Oréal,True Match,e8c7b8,1.5564382416273403,L'Oréal,True Match,e9c4b1,3.0203476621077905,L'Oréal,True Match,f0cbb9,3.423813663154001
