Filename,Hex,R,G,B,L,A,B_lab
brown (118).jpg,#C48059,196,128,89,153,150,160
brown (119).jpg,#BD7953,189,121,83,146,151,160
brown (120).jpg,#AE7A55,174,122,85,142,144,156
brown (121).jpg,#A46950,164,105,80,128,149,152
brown (122).jpg,#B89574,184,149,116,164,137,150
brown (123).jpg,#C6977B,198,151,123,169,142,150
brown (124).jpg,#A9705F,169,112,95,135,148,147
brown (125).jpg,#C28863,194,136,99,157,146,157
brown (126).jpg,#B8785C,184,120,92,144,150,154
brown (127).jpg,#C07F60,192,127,96,151,150,155
brown (128).jpg,#B47B50,180,123,80,144,145,160
brown (129).jpg,#A87A64,168,122,100,141,143,147
brown (130).jpg,#AA6E45,170,110,69,133,147,161
brown (131).jpg,#A2634B,162,99,75,124,151,152
brown (132).jpg,#9A6449,154,100,73,121,147,152
brown (133).jpg,#A9766D,169,118,109,139,147,141
brown (134).jpg,#AD6D54,173,109,84,134,151,153
brown (135).jpg,#AE8B6E,174,139,110,154,137,149
brown (136).jpg,#CE8667,206,134,103,160,152,156
brown (137).jpg,#D1A38A,209,163,138,180,142,148
brown (138).jpg,#C6957E,198,149,126,168,143,147
brown (139).jpg,#D2A87B,210,168,123,183,137,157
brown (140).jpg,#BD7358,189,115,88,143,154,155
brown (141).jpg,#CE6B3A,206,107,58,143,163,172
brown (142).jpg,#BC8863,188,136,99,156,143,156
